Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Satisfaction,Sex,Sides,UsefulCount
35-44,Anxiousness associated with Depression,02-06-2020,lexapro,63990,1,1,1,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
 ,"""Change of Life"" Signs",1/23/2020,lexapro,63990,3,2,1,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
55-64,Depression,1/23/2020,lexapro,63990,5,3,3,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
65-74,Depression,1/21/2020,lexapro,63990,3,1,1,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
75 or over,Anxiousness associated with Depression,12/27/2019,lexapro,63990,4,2,2,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
35-44,Depression,12/20/2019,lexapro,63990,5,5,4,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",2
45-54,Repeated Episodes of Anxiety,12-09-2019,lexapro,63990,5,5,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
 ,Other,11/14/2019,lexapro,63990,2,1,4,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
25-34,Anxiousness associated with Depression,10/15/2019,lexapro,63990,5,5,5, ,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",0
19-24,Repeated Episodes of Anxiety,10-11-2019,lexapro,63990,5,5,5, ,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
13-18,Bipolar Depression,10-06-2019,lexapro,63990,5,4,4,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
19-24,Repeated Episodes of Anxiety,9/13/2019,lexapro,63990,5,5,5, ,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
25-34,Panic Disorder,8/19/2019,lexapro,63990,5,4,4,Male,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
35-44,Repeated Episodes of Anxiety,11-09-2013,lexapro,63990,5,5,5, ,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
65-74,Depression,11-08-2013,lexapro,63990,3,3,1,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",15
25-34,Repeated Episodes of Anxiety,8/13/2019,lexapro,63990,5,4,5,Female,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
45-54,Depression,7/31/2019,lexapro,63990,2,2,1, ,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
 ,Repeated Episodes of Anxiety,7/21/2019,lexapro,63990,1,1,1, ,"Nausea ,  dry mouth ,  trouble sleeping ,  constipation , tiredness, drowsiness,  dizziness , and increased  sweating  may occur.",1
